"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/home/andika/Projects/college-shits/website-desa/src/react-app/components/Footer.tsx", "TypeScript JSX", 39, 0, 2, 41
"/home/andika/Projects/college-shits/website-desa/src/react-app/components/Layout.tsx", "TypeScript JSX", 2, 0, 0, 2
"/home/andika/Projects/college-shits/website-desa/src/react-app/components/pengelolaan-pbb/DetailDusunLaporan.tsx", "TypeScript JSX", 338, 0, 16, 354
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardAdminPBB.tsx", "TypeScript JSX", 3, 0, 1, 4
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DetailSuratPBB.tsx", "TypeScript JSX", -369, 0, -23, -392
"Total", "-", 13, 0, -4, 9
