"filename", "language", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Shell Script", "XML", "Markdown", "HTML", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/andika/Projects/college-shits/website-desa/src/react-app/components/pengelolaan-pbb/TabelSuratPBB.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 89
"/home/andika/Projects/college-shits/website-desa/src/react-app/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 1, 12, 85
"/home/andika/Projects/college-shits/website-desa/src/react-app/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 59, 374
"/home/andika/Projects/college-shits/website-desa/src/react-app/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/CekPembayaran.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 10, 114
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 2, 5, 76
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/DashboardAdminPengaduan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 15, 136
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/DashboardMasyarakat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 16, 156
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/LoginPengaduan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 14, 90
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/RegistrasiMasyarakat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 17, 114
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardAdminPBB.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1682, 0, 0, 2, 82, 1766
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardKepalaDusun.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 714, 0, 0, 3, 61, 778
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DashboardKetuaRT.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 29, 378
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/DetailDusunLaporan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 0, 16, 351
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/LoginPBB.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 13, 85
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengelolaan-pbb/RegistrasiPerangkatDesa.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 14, 104
"/home/andika/Projects/college-shits/website-desa/src/react-app/types.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 86
"/home/andika/Projects/college-shits/website-desa/src/react-app/utils/api.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 81
"/home/andika/Projects/college-shits/website-desa/src/react-app/utils/formatters.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"/home/andika/Projects/college-shits/website-desa/src/react-app/utils/time.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 84
"/home/andika/Projects/college-shits/website-desa/src/react-app/vite-env.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/home/andika/Projects/college-shits/website-desa/src/worker/index.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/home/andika/Projects/college-shits/website-desa/src/worker/middleware/auth.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41
